#timestamp imgname x y z qx qy qz qw
1783519233.107552 pano/1783519233.107552.jpg 3323355.937126 5580858.805371 169.797050 -0.707369 -0.030940 0.053370 0.704148
1783519233.907055 pano/1783519233.907055.jpg 3323356.762536 5580858.671921 169.706069 -0.696884 0.166792 -0.116807 0.687670
1783519234.606620 pano/1783519234.606620.jpg 3323357.323698 5580858.070928 169.625542 -0.660391 0.275595 -0.214246 0.664853
1783519236.505438 pano/1783519236.505438.jpg 3323358.353873 5580856.425783 170.082071 -0.550664 0.454869 -0.480321 0.509073
1783519238.304318 pano/1783519238.304318.jpg 3323359.429155 5580855.656897 170.159147 -0.693204 0.029177 -0.051489 0.718308
1783519239.103820 pano/1783519239.103820.jpg 3323360.195504 5580855.770911 170.154888 -0.701417 -0.140095 0.119448 0.688563
1783519239.903323 pano/1783519239.903323.jpg 3323360.884567 5580856.099119 170.104282 -0.704341 -0.150405 0.139689 0.679536
1783519241.402391 pano/1783519241.402391.jpg 3323362.247741 5580855.431716 170.049065 -0.708259 0.163331 -0.193514 0.658972
1783519242.201893 pano/1783519242.201893.jpg 3323362.739250 5580854.853928 170.050158 -0.682750 0.166647 -0.149252 0.695561
1783519242.901458 pano/1783519242.901458.jpg 3323363.207305 5580854.484717 170.038849 -0.702929 0.183295 -0.189852 0.660492
1783519243.601022 pano/1783519243.601022.jpg 3323363.595553 5580853.976528 170.016545 -0.718893 0.121557 -0.132896 0.671383
1783519245.299966 pano/1783519245.299966.jpg 3323364.993832 5580853.212833 170.017249 -0.736051 0.033289 -0.035273 0.675187
1783519245.999529 pano/1783519245.999529.jpg 3323365.609781 5580852.859457 170.030072 -0.738416 0.016461 0.009451 0.674079
1783519247.398658 pano/1783519247.398658.jpg 3323366.582965 5580851.823312 170.053581 -0.742714 -0.000923 -0.056847 0.667191
1783519247.998285 pano/1783519247.998285.jpg 3323366.962981 5580851.367408 170.047836 -0.731516 0.113647 -0.178317 0.648207
1783519248.697858 pano/1783519248.697858.jpg 3323367.227601 5580850.832528 170.078967 -0.672547 0.319424 -0.339398 0.574854
1783519249.997041 pano/1783519249.997041.jpg 3323367.954070 5580850.134391 170.123846 -0.703456 0.212311 -0.238881 0.634830
1783519250.796546 pano/1783519250.796546.jpg 3323368.558031 5580849.797496 170.143276 -0.668928 0.244092 -0.244478 0.658168
1783519251.695985 pano/1783519251.695985.jpg 3323369.166698 5580849.334671 170.126046 -0.693356 0.214372 -0.195020 0.659749
1783519253.294989 pano/1783519253.294989.jpg 3323370.605434 5580848.641453 170.067904 -0.709630 0.154827 -0.181416 0.662980
1783519254.394305 pano/1783519254.394305.jpg 3323371.518302 5580848.054604 170.068043 -0.704932 0.189481 -0.220571 0.646929
1783519256.293123 pano/1783519256.293123.jpg 3323372.717728 5580847.306619 170.042269 -0.679564 0.146934 -0.128009 0.707260
1783519257.092632 pano/1783519257.092632.jpg 3323373.329347 5580847.115843 170.028430 -0.684747 0.153868 -0.145118 0.697414
1783519258.291884 pano/1783519258.291884.jpg 3323374.246624 5580847.025472 169.955640 -0.719545 0.035505 -0.013013 0.693416
